consumption_live,lat,lng,speed_kmh
0.0,50.53036083333333,18.091467833333333,21.8
0.0,50.530362333333336,18.0915015,21.5
0.0,50.530362,18.091535,21.3
0.0,50.530361166666665,18.091551666666668,21.2
0.69,50.53036,18.091568,21.1
2.84,50.530356166666664,18.091600333333332,20.9
2.99,50.5303535,18.091616166666668,20.8
2.47,50.530347166666665,18.091648166666666,21.5
3.01,50.5303435,18.091664,21.7
2.9,50.530339166666664,18.091679833333334,21.8
2.98,50.53032983333333,18.091710666666668,21.9
3.01,50.530319166666665,18.091740833333333,22.0
2.96,50.53031333333333,18.0917555,22.1
3.0,50.53030066666667,18.091784166666667,22.4
3.11,50.53028666666667,18.091812,22.6
3.04,50.53027933333333,18.0918255,22.8
3.14,50.5302715,18.091838833333334,22.9
3.12,50.530255333333336,18.091864833333332,23.3
3.18,50.53024683333334,18.0918775,23.4
3.25,50.53022933333333,18.091902333333334,23.7
3.28,50.53022033333333,18.0919145,23.8
3.23,50.530211333333334,18.091926833333332,23.9
3.28,50.53019283333333,18.091951666666667,24.3
3.37,50.53017416666667,18.091976833333334,24.8
3.35,50.530155,18.092002166666667,25.2
3.39,50.53014533333333,18.092015166666666,25.4
3.45,50.53012566666666,18.092041,25.8
3.49,50.53011566666667,18.092054166666667,26.1
3.5,50.5301055,18.0920675,26.4
3.48,50.530085,18.092094166666666,26.7
3.58,50.530074666666664,18.0921075,26.9
3.59,50.530064333333335,18.092121,27.0
3.61,50.530043166666665,18.092148,27.5
3.68,50.53003233333333,18.092161666666666,27.6
3.67,50.53001066666667,18.092189166666667,28.0
3.8,50.52998866666667,18.092217166666668,28.5
3.83,50.529966333333334,18.092245333333334,28.9
3.83,50.529955,18.092259666666667,29.1
3.87,50.529931833333336,18.0922885,29.6
3.92,50.52992016666666,18.092303166666667,29.9
3.93,50.52990833333333,18.092317833333333,30.2
4.01,50.5298845,18.0923475,30.6
4.05,50.52987233333333,18.092362666666666,31.0
4.14,50.529860166666666,18.092377833333334,31.2
4.14,50.52983533333333,18.092408666666667,31.9
4.14,50.52982266666667,18.092424166666667,31.9
0.0,50.52979783333333,18.092454833333335,31.7
0.0,50.5297855,18.092470166666665,31.6
0.0,50.529760833333334,18.092500666666666,31.3
0.0,50.5297365,18.092531,31.1
0.0,50.529724333333334,18.092546166666665,30.9
0.0,50.5297005,18.0925765,30.7
0.0,50.529688666666665,18.092591666666667,30.5
0.0,50.529665666666666,18.092622333333335,30.3
0.0,50.52965416666667,18.092637833333335,30.1
0.0,50.52963183333333,18.092669,29.8
0.0,50.529621,18.092684833333333,29.8
0.0,50.52961,18.0927005,29.6
0.0,50.529588833333335,18.092732333333334,29.3
0.0,50.52957833333333,18.092748333333333,29.2
0.0,50.529557833333335,18.0927805,28.9
0.0,50.52954783333333,18.09279666666667,28.8
0.0,50.529528166666665,18.092829,28.5
0.0,50.529509,18.092861833333334,28.3
0.0,50.52949016666667,18.092894666666666,28.0
0.0,50.52948116666666,18.092911166666667,27.9
0.0,50.529472166666665,18.092927833333334,27.8
0.0,50.529455,18.0929615,27.5
0.0,50.529446666666665,18.092978666666667,27.4
0.0,50.52943116666667,18.0930135,27.1
0.0,50.529424,18.093031333333332,26.9
0.0,50.52941083333333,18.0930675,26.6
0.0,50.52940483333333,18.093086,26.5
0.0,50.529394,18.0931235,26.2
0.0,50.52938483333333,18.093161666666667,25.9
0.0,50.529380833333335,18.093181,25.9
0.0,50.52937383333333,18.093219833333333,25.6
0.0,50.529371,18.093239333333333,25.5
0.0,50.5293685,18.093258833333334,25.4
0.0,50.52936483333333,18.093298,25.2
0.0,50.52936366666667,18.0933175,25.0
0.0,50.529362666666664,18.093356333333332,24.7
0.0,50.5293635,18.093394833333335,24.5
0.0,50.529364666666666,18.093414,24.4
0.0,50.529366333333336,18.093432833333335,24.3
0.0,50.529371,18.09347,24.0
0.0,50.529374,18.093488166666667,23.9
0.0,50.52938116666667,18.093523666666666,23.7
0.0,50.52938533333333,18.093540833333332,23.5
0.0,50.529390166666666,18.093557833333332,23.5
0.0,50.52940066666667,18.0935905,23.3
0.0,50.529406333333334,18.093606166666667,23.2
0.0,50.52941916666666,18.093636333333333,23.0
0.0,50.529426,18.093650666666665,22.9
0.0,50.52944083333333,18.093677666666668,22.7
0.0,50.52945666666667,18.093702666666665,22.5
0.0,50.529473833333334,18.09372533333333,22.4
0.0,50.52948266666667,18.093735833333334,22.3
0.0,50.52949183333333,18.093745833333333,22.2
0.0,50.5295105,18.093764,22.1
0.0,50.529520166666664,18.093772333333334,22.0
0.0,50.52954,18.093787166666665,21.9
0.0,50.52955,18.093794,21.8
0.0,50.52955983333333,18.093800833333333,21.8
0.0,50.52957983333334,18.093814,21.7
0.0,50.52958983333333,18.0938205,21.6
0.0,50.52960983333333,18.093833,21.5
0.0,50.529619833333335,18.093839166666665,21.5
0.0,50.5296495,18.093858,21.4
0.0,50.529659333333335,18.093864333333332,21.3
0.0,50.529678833333335,18.093877166666665,21.1
0.0,50.529688666666665,18.093883666666667,21.2
0.0,50.529698333333336,18.093890166666668,21.1
0.0,50.5297175,18.093903333333333,20.9
0.0,50.529727,18.09391,20.9
0.0,50.529746,18.093923666666665,20.8
0.0,50.529755333333334,18.0939305,20.7
