distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
655.8,24.10,0,205.10,55.0
656.8,24.12,0,205.09,55.0
657.8,24.13,0,205.09,55.0
658.8,24.17,0,205.07,55.0
659.8,24.19,0,205.06,55.0
660.8,24.23,0,205.05,55.0
661.8,24.25,0,205.04,55.0
662.8,24.27,0,205.04,55.0
663.8,24.29,0,205.03,55.0
664.8,24.32,0,205.02,55.0
665.8,24.35,0,205.01,55.0
666.8,24.38,0,205.00,55.0
667.8,24.40,0,204.99,55.0
668.8,24.42,0,204.98,55.0
669.8,24.43,0,204.98,55.0
670.8,24.46,0,204.97,55.0
671.8,24.49,0,204.95,55.0
672.8,24.54,0,204.94,55.0
673.8,24.57,0,204.93,55.0
674.8,24.61,0,204.92,55.0
675.8,24.65,0,204.91,55.0
676.8,24.67,0,204.90,55.0
677.8,24.69,0,204.89,55.0
678.8,24.74,0,204.87,55.0
679.8,24.79,0,204.86,55.0
680.8,24.83,0,204.85,55.0
681.8,24.84,0,204.84,55.0
682.8,24.88,0,204.83,55.0
683.8,24.90,0,204.82,53.8
684.8,24.93,0,204.81,52.7
685.8,24.97,0,204.80,52.2
686.8,25.01,0,204.79,52.5
687.8,25.04,0,204.78,53.2
688.8,25.06,0,204.77,53.2
689.8,25.09,0,204.76,52.3
690.8,25.12,0,204.75,51.8
691.8,25.16,0,204.73,51.1
692.8,25.20,0,204.72,49.3
693.8,25.24,0,204.71,47.1
694.8,25.29,0,204.69,45.4
695.8,25.32,0,204.68,44.8
696.8,25.35,0,204.67,45.1
697.8,25.39,0,204.66,45.1
698.8,25.41,0,204.65,44.7
699.8,25.45,0,204.64,44.7
700.8,25.45,0,204.63,45.0
701.8,25.47,0,204.63,45.3
702.8,25.49,0,204.62,45.4
703.8,25.51,0,204.61,45.1
704.8,25.53,0,204.60,45.0
705.8,25.54,0,204.59,45.2
706.8,25.56,0,204.58,45.5
707.8,25.58,0,204.58,45.8
708.8,25.60,0,204.57,46.1
709.8,25.65,0,204.55,46.5
710.8,25.67,0,204.54,46.9
711.8,25.68,0,204.54,47.0
712.8,25.71,0,204.53,47.3
713.8,25.74,0,204.51,47.9
714.8,25.77,0,204.50,48.3
715.8,25.79,0,204.50,48.2
716.8,25.82,0,204.48,48.0
717.8,25.84,0,204.47,48.0
718.8,25.85,0,204.47,48.3
719.8,25.87,0,204.46,48.5
720.8,25.88,0,204.45,48.4
721.8,25.90,0,204.45,48.1
722.8,25.91,0,204.44,48.3
723.8,25.94,0,204.43,48.8
724.8,25.97,0,204.42,48.9
725.8,25.99,0,204.41,48.7
726.8,26.01,0,204.40,49.0
727.8,26.04,0,204.39,50.0
728.8,26.06,0,204.38,50.9
729.8,26.09,0,204.37,51.4
730.8,26.09,0,204.36,52.8
731.8,26.09,0,204.36,55.0
732.8,26.10,0,204.35,55.0
733.8,26.11,0,204.35,55.0
734.8,26.11,0,204.34,55.0
735.8,26.12,0,204.33,55.0
736.8,26.13,0,204.33,55.0
737.8,26.14,0,204.32,55.0
738.8,26.16,0,204.31,55.0
739.8,26.17,0,204.30,55.0
740.8,26.19,0,204.30,55.0
741.8,26.20,0,204.29,55.0
742.8,26.21,0,204.28,55.0
743.8,26.23,0,204.27,55.0
744.8,26.25,0,204.26,55.0
745.8,26.25,0,204.26,55.0
746.8,26.27,0,204.25,55.0
747.8,26.29,0,204.24,55.0
748.8,26.31,0,204.23,55.0
749.8,26.32,0,204.23,55.0
750.8,26.33,0,204.22,55.0
751.8,26.35,0,204.21,55.0
752.8,26.37,0,204.20,55.0
753.8,26.40,0,204.19,55.0
754.8,26.43,0,204.18,55.0
755.8,26.46,0,204.17,55.0
756.8,26.49,0,204.16,55.0
757.8,26.49,0,204.15,55.0
758.8,26.53,0,204.14,55.0
759.8,26.56,0,204.13,55.0
760.8,26.58,0,204.12,55.0
761.8,26.59,0,204.11,55.0
762.8,26.61,0,204.10,55.0
763.8,26.64,0,204.09,55.0
764.8,26.66,0,204.08,55.0
765.8,26.69,0,204.07,55.0
766.8,26.72,0,204.06,55.0
767.8,26.74,0,204.05,55.0
768.8,26.76,0,204.04,55.0
769.8,26.79,0,204.03,55.0
770.8,26.81,0,204.02,55.0
771.8,26.84,0,204.01,55.0
